IP Address,MAC Address,Hostname,DHCP Client Name,System Name,Description,Contact,System Location,Vendor,Machine Type,Comments,Response Time,Last Boot Time,Last Synchronization,Status,System Object ID,Type,Skip Scan,Alias,Lease Expiration,Dual Stack IPv6 Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.10.12.157,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.157,24,255.255.255.0
10.10.12.158,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.158,24,255.255.255.0
10.10.12.159,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.159,24,255.255.255.0
10.10.12.160,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.160,24,255.255.255.0
10.10.12.161,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.161,24,255.255.255.0
10.10.12.162,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.162,24,255.255.255.0
10.10.12.163,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.163,24,255.255.255.0
10.10.12.164,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.164,24,255.255.255.0
10.10.12.165,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.165,24,255.255.255.0
10.10.12.166,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.166,24,255.255.255.0
10.10.12.167,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.167,24,255.255.255.0
10.10.12.168,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.168,24,255.255.255.0
10.10.12.169,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.169,24,255.255.255.0
10.10.12.170,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.170,24,255.255.255.0
